Data,Preco,Abertura,Maximo,Minimo,Vol,Mudanca %
"Jan 01, 2021",1901.6,1901.6,1901.6,1901.6,-,-0.0065
"Jan 04, 2021",1966.7,1934.7,1967.8,1934.7,0.34K,0.0342
"Jan 05, 2021",1974.9,1965.3,1975.5,1965.3,1.41K,0.0042
"Jan 06, 2021",1929.1,1975.9,1979.9,1926.5,1.13K,-0.0232
"Jan 07, 2021",1932.8,1944.2,1946.7,1932.5,1.32K,0.0019
"Jan 08, 2021",1854.2,1935.8,1935.8,1850,1.11K,-0.0407
"Jan 11, 2021",1869.6,1848.1,1867.8,1848.1,0.83K,0.0083
"Jan 12, 2021",1862.4,1862.2,1866,1858.2,0.25K,-0.0039
"Jan 13, 2021",1872.7,1875.1,1875.1,1871.2,0.25K,0.0055
"Jan 14, 2021",1869.2,1856.6,1870.2,1856.6,0.15K,-0.0019
"Jan 15, 2021",1846.4,1840,1842,1839.6,0.12K,-0.0122
"Jan 17, 2021",1809.75,1826.8,1829.1,1803.6,-,-0.0198
"Jan 18, 2021",1836.6,1809.65,1839.45,1809.65,-,0.0148
"Jan 19, 2021",1855,1838.8,1858.8,1825.5,0.09K,0.01
"Jan 20, 2021",1880.5,1880.3,1880.3,1880.3,0.01K,0.0137
"Jan 21, 2021",1879.5,1876.5,1879.4,1875.7,0.06K,-0.0005
"Jan 22, 2021",1870.2,1852.9,1869.7,1852.9,0.04K,-0.0049
"Jan 25, 2021",1869.6,1879.2,1879.2,1877.8,0.01K,-0.0003
"Jan 26, 2021",1865.6,1868.6,1868.6,1857,0.01K,-0.0021
"Jan 27, 2021",1859.5,1858.8,1860.8,1848.8,0.02K,-0.0033
"Jan 28, 2021",1851.3,1848.8,1873.8,1848.8,0.01K,-0.0044
"Jan 29, 2021",1859.5,1856.7,1886.1,1856.7,0.07K,0.0044
"Feb 01, 2021",1871.5,1870,1875.9,1870,0.26K,0.0065
"Feb 02, 2021",1843.1,1851.8,1851.8,1841.8,0.40K,-0.0152
"Feb 03, 2021",1845.7,1845.5,1847.3,1845.5,0.15K,0.0014
"Feb 04, 2021",1801.8,1835.8,1835.8,1797.3,0.17K,-0.0238
"Feb 05, 2021",1823.9,1813,1823.8,1813,0.11K,0.0123
"Feb 08, 2021",1843.3,1830.8,1847.4,1830.8,0.41K,0.0106
"Feb 09, 2021",1847.2,1852.6,1857.6,1847,0.05K,0.0021
"Feb 10, 2021",1852.4,1862,1862.8,1852.2,0.03K,0.0028
"Feb 11, 2021",1836.6,1833.5,1835.5,1833.5,0.03K,-0.0085
"Feb 12, 2021",1832.5,1828.8,1830.7,1828.8,0.28K,-0.0022
"Feb 14, 2021",1821.05,1822.45,1826.3,1820.15,-,-0.0062
"Feb 15, 2021",1818.75,1820.9,1827,1815.6,-,-0.0013
"Feb 16, 2021",1808.5,1819.8,1819.8,1808.2,0.02K,-0.0056
"Feb 17, 2021",1782.1,1801,1801.3,1780,0.06K,-0.0146
"Feb 18, 2021",1783.9,1790.6,1790.6,1781.7,0.14K,0.001
"Feb 19, 2021",1786.2,1775,1795.5,1775,0.17K,0.0013
"Feb 22, 2021",1817.1,1797,1819,1797,0.02K,0.0173
"Feb 23, 2021",1814.6,1815.8,1815.8,1803.8,0.02K,-0.0014
"Feb 24, 2021",1807.1,1819.7,1819.7,1798.8,0.01K,-0.0041
"Feb 25, 2021",1786.3,1809,1809,1785.5,0.40K,-0.0115
"Feb 26, 2021",1740.9,1769,1769,1730,0.38K,-0.0254
"Mar 01, 2021",1734.6,1759.5,1759.5,1759.5,0.25K,-0.0036
"Mar 02, 2021",1745.3,1732.7,1745.4,1732.7,0.24K,0.0062
"Mar 03, 2021",1727.6,1739,1739,1718.5,0.35K,-0.0101
"Mar 04, 2021",1712.7,1723.5,1724.8,1704,0.43K,-0.0086
"Mar 05, 2021",1711.2,1698.6,1715.1,1698.6,0.24K,-0.0009
"Mar 08, 2021",1689.8,1718.5,1718.5,1687.2,0.25K,-0.0125
"Mar 09, 2021",1728.2,1691.3,1728.1,1691.3,0.52K,0.0227
"Mar 10, 2021",1732.2,1726.6,1728,1723.7,0.40K,0.0023
"Mar 11, 2021",1732.9,1745.7,1745.7,1729.1,0.38K,0.0004
"Mar 12, 2021",1729.3,1729.6,1735.8,1722,0.16K,-0.0021
"Mar 15, 2021",1738.9,1737.5,1738.3,1733.6,0.23K,0.0056
"Mar 16, 2021",1740.5,1735.7,1741.8,1735.7,0.16K,0.0009
"Mar 17, 2021",1736.2,1737.8,1750.4,1737,0.32K,-0.0025
"Mar 18, 2021",1742.1,1758.6,1758.6,1736.5,0.41K,0.0034
"Mar 19, 2021",1751,1752.4,1752.4,1742.1,0.11K,0.0051
"Mar 22, 2021",1747.8,1746.5,1746.5,1736.8,0.10K,-0.0018
"Mar 23, 2021",1734.9,1738,1738,1734.3,0.01K,-0.0074
"Mar 24, 2021",1742.6,1742.4,1742.4,1742.2,0.04K,0.0044
"Mar 25, 2021",1734.5,1743.3,1753.8,1734.1,0.19K,-0.0046
"Mar 26, 2021",1741.6,1732.5,1740.5,1728.1,0.11K,0.0041
"Mar 29, 2021",1721.6,1736.8,1739,1715.8,0.19K,-0.0115
"Mar 30, 2021",1692.8,1711,1711,1688.8,0.20K,-0.0167
"Mar 31, 2021",1722.4,1691.2,1721.2,1686.1,0.04K,0.0175
"Apr 01, 2021",1735.2,1717.9,1735.4,1717.9,0.12K,0.0074
"Apr 05, 2021",1736.1,1732,1736.5,1732,0.19K,0.0005
"Apr 06, 2021",1750.2,1742.8,1750.6,1742.8,0.12K,0.0081
"Apr 07, 2021",1748.8,1749,1749,1748.9,0.07K,-0.0008
"Apr 08, 2021",1765.9,1760,1760,1758.4,0.33K,0.0098
"Apr 09, 2021",1752.5,1748.7,1754.7,1748.7,0.10K,-0.0076
"Apr 12, 2021",1740.5,1740.3,1740.3,1740.3,0.07K,-0.0068
"Apr 13, 2021",1755.3,1733.1,1754.6,1733.1,0.05K,0.0085
"Apr 14, 2021",1744.1,1752.1,1752.1,1743.6,0.25K,-0.0064
"Apr 15, 2021",1774.7,1760,1776.9,1760,0.12K,0.0175
"Apr 16, 2021",1788.1,1770.5,1790.2,1768.3,0.11K,0.0076
"Apr 19, 2021",1778.7,1795.9,1795.9,1779,0.12K,-0.0053
"Apr 20, 2021",1786.5,1778.4,1786.8,1775,0.01K,0.0044
"Apr 21, 2021",1801.2,1789.2,1804.5,1789.2,0.03K,0.0082
"Apr 22, 2021",1790.1,1794.8,1794.8,1788.3,0.04K,-0.0062
"Apr 23, 2021",1785.6,1791.9,1802.9,1785.4,0.20K,-0.0025
"Apr 26, 2021",1788,1788.4,1789.9,1788.1,0.05K,0.0013
"Apr 27, 2021",1786.8,1789,1789,1785.8,0.01K,-0.0007
"Apr 28, 2021",1781.8,1780,1787.8,1776.7,0.04K,-0.0028
"Apr 29, 2021",1776,1795.4,1795.4,1767,0.16K,-0.0033
"Apr 30, 2021",1775.7,1775.6,1779.2,1773.7,0.21K,-0.0002
"May 03, 2021",1799.5,1784.6,1798.8,1784.6,0.19K,0.0134
"May 04, 2021",1784,1791.5,1802.4,1783.8,0.21K,-0.0086
"May 05, 2021",1792.2,1785.7,1790.1,1785.7,0.23K,0.0046
"May 06, 2021",1823.4,1802.7,1823.7,1801.7,0.88K,0.0174
"May 07, 2021",1839.2,1825.4,1847.6,1825.4,0.66K,0.0087
"May 10, 2021",1845.5,1840.4,1849.6,1840.4,1.72K,0.0034
"May 11, 2021",1843.8,1847.3,1847.3,1827,0.77K,-0.0009
"May 12, 2021",1830.5,1842.4,1842.7,1822,1.81K,-0.0072
"May 13, 2021",1831.9,1824,1835.3,1818,0.89K,0.0008
"May 14, 2021",1846.1,1846.2,1851.6,1845.9,0.19K,0.0078
"May 17, 2021",1875.2,1853.2,1875.7,1853.1,0.70K,0.0158
"May 18, 2021",1875.7,1875.6,1882.6,1875.6,0.24K,0.0003
"May 19, 2021",1889.1,1875.1,1892.6,1871,0.49K,0.0071
"May 20, 2021",1889.5,1883.8,1889.8,1875.7,0.12K,0.0002
"May 21, 2021",1884.5,1884.3,1891.3,1881.8,0.39K,-0.0026
"May 24, 2021",1892.4,1889,1893.1,1888.8,1.27K,0.0042
"May 25, 2021",1905.9,1887.2,1906,1887.2,0.09K,0.0071
"May 26, 2021",1909.3,1915.3,1916.4,1908.8,0.95K,0.0018
"May 27, 2021",1904.4,1907,1909.6,1897.7,0.41K,-0.0026
"May 28, 2021",1911,1902,1914,1893.6,0.64K,0.0035
"May 30, 2021",1906.75,1907.6,1907.9,1906.1,-,-0.0022
"May 31, 2021",1911.15,1906.8,1913.4,1904.85,-,0.0023
